Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Juan Soto,NYM,138,622,498,143,82,26,2,32,106,90,115,5,101,4,4,2,,8,3,0.288,0.185000076,0.1631146936,1.134,0.422,0.546,0.413,0.968,0.258,,0.301,,,124,51.4,171,,,,,,7,,,,,,,1062,7.70,1062,7.70,0.379,0.39,0.398,0.405,0.412,0.419,0.426,0.435,0.448,0.394,0.4,0.405,0.409,0.413,0.416,0.42,0.425,0.432,Juan Soto,20123,665742
Yordan Alvarez,HOU,135,598,511,155,88,31,2,34,92,99,72,11,101,10,4,1,,3,1,0.302,0.120999993,0.1684351434,0.718,0.396,0.569,0.406,0.965,0.267,,0.317,,,116,45.9,166,,,,,,17,,,,,,,1023,7.58,1023,7.58,0.37,0.382,0.39,0.398,0.405,0.412,0.42,0.429,0.442,0.387,0.393,0.398,0.402,0.405,0.409,0.413,0.418,0.425,Yordan Alvarez,19556,670541
Aaron Judge,NYY,139,625,508,139,73,23,1,41,104,100,104,14,161,6,4,1,,8,2,0.272,0.1669999688,0.2580214311,0.647,0.400,0.565,0.404,0.965,0.293,,0.313,,,120,47.3,165,,,,,,3,,,,,,,1069,7.68,1069,7.68,0.369,0.381,0.389,0.396,0.403,0.41,0.418,0.427,0.441,0.385,0.392,0.396,0.4,0.404,0.408,0.412,0.417,0.424,Aaron Judge,15640,592450
Shohei Ohtani,LAD,145,669,573,161,86,30,5,40,118,98,84,12,152,5,4,3,,33,8,0.280,0.1250000685,0.2271083437,0.550,0.374,0.558,0.391,0.932,0.278,,0.314,,,122,43.5,156,,,,,,2,,,,,,,1121,7.71,1121,7.71,0.357,0.368,0.376,0.383,0.39,0.397,0.404,0.413,0.426,0.373,0.379,0.383,0.387,0.391,0.394,0.398,0.403,0.41,Shohei Ohtani,19755,660271
Vladimir Guerrero Jr.,TOR,143,641,562,169,103,33,1,32,97,96,67,8,92,6,4,1,,5,2,0.300,0.1040000652,0.1438510037,0.723,0.378,0.532,0.386,0.910,0.232,,0.310,,,114,39.1,152,,,,,,13,,,,,,,1006,7.03,1006,7.03,0.352,0.363,0.371,0.378,0.385,0.392,0.399,0.409,0.421,0.366,0.373,0.378,0.382,0.386,0.39,0.394,0.399,0.406,Vladimir Guerrero Jr.,19611,665489
Ronald Acuña Jr.,ATL,132,610,527,154,95,28,2,28,106,77,68,2,105,9,4,3,,46,10,0.292,0.1120000662,0.1727446058,0.648,0.380,0.514,0.384,0.894,0.222,,0.317,,,108,36.3,151,,,,,,38,,,,,,,982,7.43,982,7.43,0.348,0.36,0.369,0.376,0.383,0.39,0.398,0.408,0.421,0.362,0.369,0.375,0.379,0.384,0.388,0.393,0.399,0.407,Ronald Acuna Jr.,18401,660670
Fernando Tatis Jr.,SDP,129,582,520,148,84,31,1,31,91,86,49,0,118,6,4,2,,17,4,0.284,0.08499998819,0.2030064419,0.419,0.351,0.530,0.376,0.880,0.246,,0.310,,,99,30.8,145,,,,,,12,,,,,,,887,6.90,887,6.90,0.338,0.351,0.359,0.367,0.375,0.382,0.391,0.401,0.415,0.353,0.361,0.366,0.371,0.376,0.38,0.385,0.391,0.399,Fernando Tatis Jr.,19709,665487
Bryce Harper,PHI,140,618,529,149,86,36,1,27,87,90,80,9,134,4,4,0,,10,3,0.281,0.1300000252,0.2163839745,0.601,0.378,0.502,0.375,0.879,0.221,,0.328,,,104,32.1,144,,,,,,22,,,,,,,925,6.60,925,6.60,0.341,0.352,0.36,0.367,0.374,0.38,0.388,0.397,0.41,0.355,0.361,0.366,0.37,0.374,0.378,0.382,0.388,0.395,Bryce Harper,11579,547180
Gunnar Henderson,BAL,138,618,539,147,84,28,6,29,94,83,68,1,133,6,4,2,,16,4,0.274,0.1099999156,0.2152467415,0.511,0.359,0.510,0.372,0.869,0.236,,0.311,,,103,30.9,143,,,,,,9,,,,,,,915,6.63,915,6.63,0.337,0.348,0.357,0.364,0.371,0.378,0.386,0.395,0.409,0.351,0.358,0.363,0.368,0.372,0.376,0.381,0.386,0.394,Gunnar Henderson,26289,683002
Bobby Witt Jr.,KCR,139,627,569,165,97,31,6,30,98,89,46,5,102,6,4,2,,33,10,0.290,0.07399997641,0.1622292483,0.456,0.348,0.526,0.370,0.874,0.236,,0.306,,,104,30.3,141,,,,,,2,,,,,,,956,6.90,956,6.90,0.335,0.347,0.355,0.362,0.369,0.376,0.384,0.393,0.406,0.35,0.357,0.362,0.366,0.37,0.374,0.378,0.383,0.39,Bobby Witt Jr.,25764,677951
Kyle Tucker,CHC,129,566,489,134,79,27,2,27,80,84,69,5,86,3,4,0,,18,4,0.274,0.1219999533,0.1522481862,0.801,0.364,0.500,0.369,0.864,0.226,,0.282,,,93,26.9,141,,,,,,9,,,,,,,839,6.52,839,6.52,0.334,0.345,0.354,0.361,0.368,0.375,0.383,0.393,0.406,0.349,0.356,0.361,0.365,0.369,0.373,0.377,0.383,0.39,Kyle Tucker,18345,663656
Freddie Freeman,LAD,145,644,558,162,102,35,3,22,90,88,71,8,107,9,5,1,,10,3,0.290,0.111000017,0.1655681743,0.670,0.377,0.481,0.368,0.857,0.191,,0.322,,,105,29.7,139,,,,,,27,,,,,,,926,6.39,926,6.39,0.335,0.346,0.353,0.36,0.367,0.373,0.38,0.389,0.401,0.348,0.355,0.359,0.363,0.367,0.371,0.375,0.38,0.387,Freddie Freeman,5361,518692
Mookie Betts,LAD,140,640,553,154,93,33,4,24,99,79,76,3,88,6,4,2,,14,3,0.278,0.1179999873,0.1372298465,0.860,0.368,0.482,0.366,0.850,0.204,,0.291,,,104,29.0,139,,,,,,14,,,,,,,914,6.51,914,6.51,0.334,0.344,0.352,0.359,0.365,0.372,0.379,0.388,0.4,0.347,0.354,0.358,0.362,0.366,0.37,0.374,0.379,0.386,Mookie Betts,13611,605141
Corey Seager,TEX,114,514,453,127,77,25,1,25,76,70,52,9,86,5,3,2,,2,1,0.281,0.1009999427,0.1681354209,0.601,0.359,0.503,0.365,0.862,0.222,,0.298,,,83,22.8,138,,,,,,46,,,,,,,741,6.53,741,6.53,0.329,0.34,0.349,0.357,0.364,0.372,0.38,0.389,0.403,0.346,0.352,0.357,0.361,0.365,0.369,0.373,0.378,0.385,Corey Seager,13624,608369
Ketel Marte,ARI,133,605,530,146,87,29,3,27,90,80,64,5,110,5,4,2,,7,2,0.275,0.1049999337,0.1822556802,0.576,0.356,0.493,0.363,0.849,0.218,,0.300,,,96,25.7,136,,,,,,31,,,,,,,855,6.41,855,6.41,0.329,0.34,0.348,0.355,0.362,0.369,0.376,0.386,0.399,0.343,0.35,0.354,0.359,0.363,0.367,0.371,0.376,0.383,Ketel Marte,13613,606466
José Ramírez,CLE,138,617,551,154,89,34,3,28,91,88,57,14,74,4,4,1,,28,7,0.280,0.09300003287,0.1204399957,0.772,0.349,0.506,0.359,0.855,0.226,,0.278,,,96,24.1,133,,,,,,5,,,,,,,910,6.61,910,6.61,0.325,0.336,0.344,0.351,0.358,0.365,0.372,0.381,0.394,0.34,0.346,0.351,0.355,0.358,0.362,0.366,0.371,0.377,Jose Ramirez,13510,608070
William Contreras,MIL,138,613,538,150,95,31,2,22,81,81,66,3,123,4,4,1,,7,2,0.279,0.1070000226,0.2000882775,0.535,0.360,0.469,0.357,0.828,0.189,,0.322,,,95,23.3,133,,,,,,25,,,,,,,831,6.03,831,6.03,0.324,0.335,0.343,0.35,0.356,0.363,0.371,0.38,0.393,0.337,0.344,0.349,0.353,0.357,0.361,0.366,0.371,0.378,William Contreras,20503,661388
